Recipient,Amount
7p4jXnmQVsCcMiQ1yjZyaTwzd5hSszA9EojQXjk2KxGS,0.4
2dzJ99kT49qf5XGiHfMPHtnGz5zhhMcEXXcQR4RS93Rt,0.4
EsAWtFmFqDeQrim1EDxPvb64ZSsSKYVCQXpno7RsiLFi,0.4
4LLzJiTR4p6JqR4biyVQ17NgXZ418mXSkbRYxaK4ghhj,0.4
BDzDhZrH2rPAoYdSU7qWMUjiiR5YzVspVhgoTZbcj2aa,0.4
J3KZp4VYFJ6vAeBS4nFirer3sHiHuTJ36L7LhLXtyNLk,0.4
CepdRgr17Fh8c17pGHujPpagX83Xbwjz532kMaVgV3MH,0.4
3Qzujs5M8X65ghNDQY7RXhX4epeyjEc6QcAxPJb1mEYJ,0.4
5C2yZxzVVnniiBeAj9stzjPotnFDRCwnZymkwzRHNQwd,0.4
933RhNVs1SThSasnxT4fkWQLcKs7pAPS5x7XnHGhEbag,0.4
4fomXevaf1kLZBzdy8XcwmxMxyeDDjgNFZ598UBTz27Q,0.4
2qETBVDHvTFFfhqTFJjhz7eA1NLe9XZXuUxKVabg71uL,0.4
3qEkwQwmDduud9Yasne7fQvr8A4UuwB158C2Rea2177X,0.4
6CgLfHMZXP27vcLW7f9x1fPfzDULxWNy7edpfVBzq6vP,0.4
2zSzb36tYMogYssSrRExLNUdBtrZvXgLwrx41kgh8Vkm,0.4
fa1ra81T7g5DzSn7XT6z36zNqupHpG1Eh7omB2F6GTh,0.4
5nkanyPiHssmJozTRtSS1UcPiu67yPUXSgoQdqUqBfXz,0.4
EMo7RRcgfbiQAZqV449dn5Evn7ndbMz5kWea1e7nX2D8,0.4
BisPRAwnkNiHq4MqA3tXENVDWH3Ekp6jRGaBhCtCwudS,0.4
Ed3vPhHHvgh9H3iiW1y4mFvSpmEerYqNkjpZxn88CVDt,0.4
5JGcYD78gXa3Gej474uQybX5Mydt1BB6Jm6qkwg6mBbh,0.4
8oQjmyy4ruVozVgehK2dz6knY5XMRQzxqSKpPnDi4ULw,0.4
EXq7Wg3t8yRPUvxLVWYZT9VJC9ew5izt3SqMq8jWWp46,0.4
Fef1aJ4dbAgPiWdeMG9Cmfgie5TrCfbTFaHrqufLgr2B,0.4
CD9nHBiS1az6P6DVyLGVATxY89PWjw78nhjHgcAqgQnE,0.4
9Z1sH4qzmaAGLTUeedZcAkg7pWQYEHj219iopULZYeq8,0.4
2X8BBBYrhcYSce7RP6eSSyC3fWNug9zi5xSbupd1mTrm,0.4
C3gj4HW2QV3i7UV7YpaFAJDju4T5KhLLpWVbuPfwyHAB,0.4
3zD9Ljw9pVwHo1rGW2cBPHXziYdugmKKCJm2Y5Pn9zAc,0.4
Gmd4AjYALkXYZAp6hhMTyoRhob7p5Gry29hzraR7nYDo,0.4
BCFHDjr3MTYmAY2q5e6iwLdtu5qrn2uwfDnz3WohF7pz,0.4
31VZcUETUMSytpw8fDfYh4fRYcU3b2snVKN5hNS4hGi8,0.4
H7otyuNXSNAkGAtLEa8P1MmdLnuVNwiFNh2Y8gFgWvTR,0.4
FXPLuRT7NTPrs1SpzuYSV1K1a3ZRgAAbfRf5fX64WibC,0.4
CjqX5GiX9ap1FewWbqqdUqJBFZZnftsn5NFzQhSvsf6f,0.4
8go2XB1o9YC1nVpnkmLJUAcrA8uHS3v75UitEXvbWAyj,0.4
Fwmje6GvbmEQuESXnZDaAig5zp2BNszvtY3qMhCWbFr8,0.4
AaNukpYxV5UvChc3TnmGAgMCQkkYstmqzq8P6gjC5x1p,0.4
8TkNd84pdJFS58RF5uaeGJyRXfDd6Vf5e6t4M5Auiuia,0.4
EFGmsHW9hDvmbtcJML7QLnoAq4VQrU25DUfTMXLnqhEU,0.4
5ZUpjh3s2wnvmrjvKLYXEQm3fNk4LNU3agjDfnycM51x,0.4
4q1N4KJcPtujeMNfxvWu3YpX8iAzbSeoJyxXih1HZ4tE,0.4
rX2tZVrJXJM9VaUpYqZo9zVwdGQfUDy1TZWMWFGoe7P,0.4
29NMr7MnLwhkUpj7pDCf4AQJ3kFjhduK3PRNwGcSECfC,0.4
E4oR84ZkYarB4qDQVbGfTNmju6ewdjdSQffdEjwAAoh2,0.4
7RkjeYcZJcLcWRGPorADF48QwL77k7EWYkfAmjuT6eJV,0.4
7xXRf2eB3pFt2sDBxH6sz3mmuhQ6HYTw48azhmPziNpv,0.4
5eNR1gF3GqXxrUXH4qfVJEwmLdrR9RwtWW8Box2VCS4z,0.4
DuW6ZchpEtHYJRK3P8vAHSoWKeupNEwyjBZYS6PG6TGJ,0.4
AcdUyjzapKTvEuFHBKBwgyDYES25EuqhJJSCeFCD7Z6e,0.4
CBiw3n2i3tjfQbvkXPX6G7sUxTHuyg3NDbTHv6QZn2np,0.4
J54mBmNZTi1st6dUSDDtMZTW2y5PoXT62D6vJuh7f8qk,0.4
9TijUJtSq8Li8HQww8HJhxtScMx5VnMNfaZJTSfL91iD,0.4
2ZDq451WNabDFQqZgtPM75fWEyv2Rrw9JKYDabx9SNcm,0.4
aaY2EkZ1zubpNJJdGEsZ2TsKcpqmturX5KpTd9VQDw1,0.4
m1u6KKfiVVLVwgsiT575vuCFvVK6nTmb9UcofVsTNBL,0.4
FbFKQRkCkvFqiBBH9S3dcPmp4dR25kvYERRsH4tcH6hC,0.4
4mqf27pRCTt6dEduMkVL3VdKjSkWFQxW5z15Pob71eZa,0.4
6y9ANVjvKJo7yqMQpwHnqHK8CeeynPeAPwBahEpbsFwb,0.4
Bu37Jbh8SbMXSwwrSgsMbaKagopof4LZ2oCSvKZpUD6f,0.4
DhprfDrP4BHHuZUNHQ9GJsV5Xhgw1SsxP52reiBgwto3,0.4
BZNwrFDt9EcKN4Lx34LfgrzTuYe7k5yYrJh7rSu2xhyW,0.4
3vHrhXVygkkrBXWxq8bKwoXgceTkZM3NuXgqaobMUYTH,0.4
HnEMv8jqdmqrJcCSwSQXntLJMYpWxrNABcZSYjjzEDvA,0.4
7SajwYhAJSEyH2QWSDt5hGvnPwMfuciQw71fgKkXoQsf,0.4
37FGNd6jx2BSQXsubRR6k4ea9XzjJnbFuwDLihq4PXZ4,0.4
FWs7zGQ8fc8uP6yPsptdynBT9wmm5iAngspn8BUkYkc4,0.4
CmDfsdByhYNmrKgcjk8zsyA6VHEMAyoMPCsLAx2FpgMr,0.4
A72aA6s54AjJkMsLaND9TNR8Pa5NkpctxqnTSSGnstvd,0.4
Eb3BAoDbMAF9eEzWsrsQtb7QwQPRvKyAyoJfbdH6m9xy,0.4
9zxXtfujSwDXLC3eeRghzSLFLPc8JLpGPzG5nYvTHHBi,0.4
7sWezx5Zc6n7CHaF1RhF9mL73grx3dfaAMuCED2bnZx4,0.4
HFaudVEnAmLcvZRxMpXXCK1eEBHrR2gkhGSWvRt1hoJC,0.4
WVQV2RTt8e52y6Vu4xjWi2jkKNU4Ry3bZy7xAZJEYKs,0.4
GqLEbDHDBF9sxUHrVp6uT8oM7XRisBV6nqk3qZ5QMYLt,0.4
J984nwax97V6DfG67442pjC87quvAJWhKHuZDE1aREf9,0.4
8TsTiccm6LXrre4VMuuRZjQzpqBDYqQN8bm2SimoYmUM,0.4
EdN36abRLHwdLb5uFww11yzTvc4mR6r1L7Q3w9qN5nZi,0.4
HFKAkWuU4NUmkcr4ycKVCQQP67gjcfMVCdYXU7HfVSdV,0.4
2onQFZDXUWjMbKgPheed2ANkbDsDq5wPrNNJGuEvMHZn,0.4
8RQBYwP1UY4zDkmfhHr8jLbTuiXqe4umyonJoi84BUVn,0.4
EDRF2WMTATtrzW3iKJoNbx8MfqV78YekarPSycfhiJfM,0.4
NiGEraip35Dr2CYH535nCUThF9o1VRDhfX6db29XL6n,0.4
AEifNTAb4qwgQV8tr7jYw81C3ioS57WsGePHiHYjFqSk,0.4
5cSh98ATdQpBULpiZvE4PwiLEbFc2xZLCLZVzXVE64LT,0.4
Hi1gtqoR9zueFaxboXQwNddkhagZkqtjVbQJgVrGUyd1,0.4
4dvZkwvaVHdS1tmyrpvVCvHvsxUKrzSGoWbrWJg6YqMx,0.4
8zc8wMS2CdECneFyMYCXHHLbuF4kXY5rZN3XCUcEdpMs,0.4
6Vb27d8dmGsB5u6uMKxJDGXfVP47Xa46wfmsfvDC2Q9n,0.4
5bouivQJ4CL4ibWD39RqNkSUNJFrw14hW6acXXPXngaw,0.4
5anUndFvsP9VNynRoKNY5ugLD9MW6f4aJ7CsrMxxc1QC,0.4
D4KguEjAovi4a3C9xPnXBhu6HxQXyKyymMqodYxoEGj1,0.4
DUDci5ZYwP5CmsB68afezuUHXXtANd4hjiEK9KG2jKs,0.4
J1htfgJzdsWCZR1uuXGYuhdcvjUGvFHQPf3Pca7GLJU2,0.4
9JtXXenV4WKg8YTxNo5e2JEF4jPfEuQhoyHwrPJkjeha,0.4
Gg5H634SdiQq2WAnBwp2C6THvTEcoteqpqnrH1ryaYct,0.4
9LCeF9nsq7WfW36LMdobxqfEPADiZqTngGVqgFgHbr4V,0.4
4aauwc3vgDkBFazCMtie9ATY338p3NDiM7an59dNygcw,0.4
4Cg3Qy2xP9uiGvNfxKQQHXv3YZDkAopVfDDg96b5fZna,0.4
9uKNcgpYRpCCUgLiG3jWrhek7GWk5FfBHgz3wzg5FVC7,0.4
4zGGk736PYq5C8zMQEXBCoBGWRhzjNybvJBPpZWD4Cpz,0.4
BVgatg9tSuSUZh9su6LfZcb8vg9LWsZuRSvN1ZuxqD7S,0.4
B5kQ3yhNmMhS7zFXgRhyY7hme1oFLE9ASGKcnicxjBgC,0.4
8mZ8QeQXtAAebxcyt7zbPF8GUX84BJrC6E5S62mT7LcK,0.4
3ns2G4sTEbRv5cJi2FkQAH1sQvoB5XBHNu2AGbHc6D88,0.4
36FcQbJN4knBqYMAwnMhwEDipUYYmdx34scjHPjPLPns,0.4
H5JqFnt8kCTuYo6J6g88kNokCgnwyCQaKNR8dCAoCwdJ,0.4
G2cZaqXPspUYcZyRa86AkBEbTJE7RpAA9xh1Bk7Dmtgx,0.4
6XPkzvChcafbsqVy5nWZQtmDfYMxhaWn1rCP8D9MJFrT,0.4
7kpaHSCxU9wFW6xi9XoQwUEfc2L4FyXZg3pGXx4KGcD4,0.4
5eM2BLRts89WugG6iHUnnvZzGyfUV9ftsKFfxRH5JQg1,0.4
7DUmbNUuYa55csLTYwacdALvnPdBCagR8boHVN8uFNyN,0.4
9jY1BLKMReS5fzCB6dPiVaKDZbSg2jdD47JLFFhkPuKM,0.4
J51yT9BXbAV8KcGd6fu9LE354k4Y36KDCfuDNmguvPtW,0.4
4cJd1NBV8iYgtryF468KVfadN4ZTHpDFxTiAvRXFKcae,0.4
BAnQEniNyqYGAAnHXumWjNKxPyXTCotpGQ7ddDwrXyr9,0.4
ALAb2MReMNT8hi2nCjz7LA3EygaBfn1MnXraEqEoFB6d,0.4
AHCFnqZL2ADZSgEJHN2TrYn5Wkm7FUv9m4tZizNT4vnW,0.4
5WjBDciThw1ApWPEa4SVftQCefrDdFLVUupyerxeqxdz,0.4
BfiVvqNUkqvWt7Lt9tT9akJzTf8d9g2JqvwEgx1dg3H,0.4
GTFHjpRrX3uAN58WWTQULhd1zWuqTWz99L53Yh4BVejW,0.4
C8c6dbwo25zyLMcUY82rXayNtUNVcLeLnCw426F6bFux,0.4
C6ksVsGGMtoGNLdW46gAkWjGGp4A2ZHBDAT9bmL8gWvN,0.4
6PfvmPAFsTnQGgARZ4sTpFgKUNPBwSmTYzwR3bckfYqH,0.4
6U18nFcBtiEnRwxV64Y3fQc7nFKVN38me78aj3WVFF5o,0.4
FibSUJDMGEfwM5G3hdzbJ8FVyBzs8BCwnX4ejXGyQH2S,0.4
6WtpfRzJbWaSsWfr4gw9kDmMv6tsDKWRcHr7a4p3wPoP,0.4
5zjAzevW67tqsKJC44oFUEjYwyfHUaV4dibokP7p7yPt,0.4
Apmvpbff4MHgJrYTtee3UDmt5AhLKHK3bAWHhotpnfaV,0.4
Fc4sUJ5X7G5nmXURa7Rz6HXeiBB8v3hauNNNti39he7U,0.4
qhiqkyUqRBnaqyHexQcwXnmiZUVhF3LwP4VKfArvTQD,0.4
FrfEn1L6CfQwWsic2cTCc3oVTLeoLVVpkugsX3Kg2RNM,0.4
6W79PqyPZTM4TLxmRVtcBr3LmCLrmeVj5ye5rvvC42Nq,0.4
8A1pQRfdohSnKhXBtV6pV8B54geQhnm19r5sS4Jr1Tcu,0.4
3zC8Bs3C4aqzXLh2Y3zkEkjCMVwwfsEgq2NkVjkWEfoM,0.4
6QeaREJcvRJrUhRj1JL5pqTSz7UBKdPNJDYUSJogZTR2,0.4
DuyTfz8Ceqq4uJ78wEuW8EaW8hPW4K4SUgN8NfXPL52g,0.4
FvaWN1j4GJYaCYtgUQVKBGa65dJvEwFnqfBCkS18kSGs,0.4
D1iZx6jLRJ2sMMZBXC4LF6S46782nZBSjjwKBWNDeujs,0.4
A73Qs7euzo1dUXL3TrDbZ8RNAQNPQM8QkXtZFS7qsAht,0.4
5fTWqWRtK6UyaeV3Yc5162cVnVV1fenYayDV8r4D5w62,0.4
DKXmqTh2XYeeeiHtB1sxohQ4gqGg8ZHSD3bQpizCPX3J,0.4
ByTvwehmWWTyzYXboLn7peaetnuYZ4LY7s1B5QwNbCak,0.4
GGDGaHFhVrPabmYPyyFZ8oKfFon42mSi9CZLTm37a65P,0.4
E4nE5zAFGkWL7fUZZPHSC6uNt2AvBCwd2WL3RebPLD6k,0.4
4YE52EXxJvkuzG6FsrSVEbgTsKBVZZKA8z24GeXvSuMV,0.4
NvH4uoN3mdUqajRYdnFVBif6WAnUYmqQkgEpCvRBpu3,0.4
DUakgTVGbqGYLXg6nRmh2MrngFd8fN9SsgCqoyi7oNuR,0.4
GigpSEs9wNmn6dpjwtvEhnMPQLEPKWNcxdaKRRGTcFQt,0.4
AWVCQs8gkHMmbPdCtCETHbjMRycnnnTpv2hpK5wQTQEk,0.4
HTUcz7B7AfSbXZrb2VzQSZUhqW4L6bGTnjbrmWw67aH3,0.4
9BnPm9gghDf1cHUVXVae8dZH7zR21PbXDuPZ49HAjDs6,0.4
Qn7UYmMFgfeQDshWafGbFU8vgKwNwZ5GDnt2gXakYP1,0.4
FvbcGTto58WB91TG1YXcUNQAmjM8zLCcELexULn49b7N,0.4
EzLSvZTQdWnWAcmsXGQo66mtJAFxEY6UtC1AvfRHdidj,0.4
8NnxigpRfwBtGtspfmgenxRX6WdgBqJFqVgo4HJ1BVYU,0.4
CVLZomMQ4MDU94zagsfNAiB3LKZ2waKANEN4d4CZ3BM6,0.4
36HWb6XjWvBbpbsARusArggXGKd5hMAGNX14Xwwefu1M,0.4
7xYrL1BjWUCQEvnEwS99kPrWm6QWhQZnGywpCtnZfe8t,0.4
K7DL2s22NYmQmzcHUozP3prcnSgAEaZ7Qddip9dPr8J,0.4
CamhDhQrP6XA2yXtaQkrTtGh35rQhwoxZMBg8K5UHyCo,0.4
9Unv6EYGUmVezhkvqppHAVTRG1MYXAgZj4q5hXYJmVCw,0.4
45iZo7rabRjD7prpzSTtbCGvrBo5fpwZ4ZiWe6t1akSm,0.4
Cmc99pksT1VucEGyBgZCnDh6UqmiY9UMzbppR776mEtH,0.4
8M7DCR196TosTjy3avHPRqRkk3vDVZKpfcFEpCSjocZB,0.4
DC797r27iU4VZ5GnfLSFJ4oWqinyLduPokvFCm5dRdyd,0.4
EtTHb1s16KEmdmgVEUQPVzW39gRVtBXerF5K2MDbUKAM,0.4
2qHKGoU29Nm3XRSQqrt93VAVH18HPV9QxPFTyqj9Usy5,0.4
4wYqENL61LgQ3yu46vWKmvd7jGJ2zdM2ALCgR3FBRXEn,0.4
7xDqnbG6EFfWE2eKSy18tRfGC9DngJQSWgRAyuUwD247,0.4
8YmjG1G4SiQGE5nDKivQAV76yRjV2sXquXHpM6TG7ETG,0.4
2wvvthdtZmVMKJNDf4tGanpXP1drMntv3Gd4LtKN1cZy,0.4
2N8Bw5TKPUQ9ebvaVkPsQ8ijfjh4EiLJEjMqRLVRi9VS,0.4
C7M2ovva2JtkPUbK5t2Ra7sdxkGifhaeASFauAkyDX2T,0.4
6zusL9YHNKGsHUnfNRH1CQdNna9G9ZySsGTRgPPYGnGw,0.4
BmhyHiqK2gfDsUwtxwobgxTS1Xm674w5D7CP53B6fowC,0.4
C4pG5gR2mqx31X4qM8JvRCm81ZgLqE72qkRvkDgUys1C,0.4
4NBPQNVGBbmrexe5BbdDwgg46gGmEQATfUeKhfekiovU,0.4
9Cnq3ZhRCVJN9WKCJq4wj4Vg6PtTCmDHMvTd1yD6mQrT,0.4
DuWXxxoxNwDzoUewAWLu1u7jC8iUD6Y8aV3W39VjK7at,0.4
N1mAkQCmNyDSt8UkwmkoDrjCsUs6TAEVBPJZPtKRsNC,0.4
KreTbG714rTZpjsQaYWUaiETwdqPuwhs7ZwrQ25u3YR,0.4
9EdpSkh2qZxiiSXhqhLFDcMyA3tujVthSJQAJMY54mBR,0.4
GmcJs17JimfW136FzS8NeG1emS91iVcbNyiTQwo6N8kp,0.4
2MP7ZD1TUZD5caKSnndbD3EeYwfS9p8GioT8Dt3rYLDX,0.4
6F9n6mMBaKqaNoTowEe2vcHt8PzuRDPeQS93xZKA7cAG,0.4
2of2F1wiv1hhea3Ar7WPs7eUMoMQqroTjbFn3PCemvCK,0.4
9ME887CcQiV9xpAhJEzeZsXHs99RqWtmtAp4anKhfhBZ,0.4
AbRgjqH8H1Xybt6g5YJf1JHp5X25SUWKe2e9aNattZmr,0.4
4W7Uq4k5DPcA7kgvMjkHfqxqMWroaFgsWoDtWrPRCTaZ,0.4
6q7cRptjkMcaijTbTmgNGUqEobsNP2iLXccypXak8KYZ,0.4
EYtMhsxc6x6uZyQDwSbRAozvG9EZuB2pbBXTC6pnPH6s,0.4
7dFN4s96CqyANMwToNtbbe8jH6tKmEH6JExLRC5oDVMX,0.4
BCdt1DoaLXgzN8GJJUB5q76z49jyDEqWXzNgcBeWznAy,0.4
BH5nQrpvomh4Ce5GsapavLcNY7auApcTgSjtVTv1ReQf,0.4
3XhF3TopQokmiw1vNuKdtSuG6JcW8zP2ajna1U3jHkoC,0.4
8PjoFJjtP8r76mRoA1xun14KDqdVK7KBbyBUZbRgKreL,0.4
AK5xUUUqMVubn1Uh8qFJ2vHwCgoM6wJahwaVWacDG4Ep,0.4
5x3ZpsDfEA76MLhSUG9XtYt4Ub1HACCFpmZFxfN85sgi,0.4
85ooHsRdd39fk7uqoDpEKD1TJTZyLkpf5TrAG7fedTB7,0.4
xBJobVp2ZTBz5D3HpHz8sFfcBa1kYC9Vn9vJAkrYDRb,0.4
21SGisfo2QDNwjwpz4zdkGSy71bhXC3U6tjWvmvWDpce,0.4
C9zPetKr3LPuWB9CjMW8NPaoLXEHS57GC825mnqjVXrz,0.4
BKH2WcgviJNFi72oDc1qVFj1asJdiskynYka3jrpapi,0.4
AJU92y3y6vUFCXBE1hwmsdxMBfUzqsRdULU9WVgfVSWX,0.4
4FHzoETP7mjUCVi8nbyksknwxppJLf45jX6dT6n5gabY,0.4
CeybM5uDuoEjkcz5GAGmipEPLBcfxpoYnvJXykbJ5yWu,0.4
HLvcbCWckzrSpaLwVUrWpdPtWEFDh3s7AUjgyVNmARGd,0.4
9arLxfsLKAFmewW5yvfC1oqvuFYHQJw1sc6pT5XYXHvn,0.4
DNfRLp3iyYT6R3n5LZ8TxC4CubD2UAZ1GgfsSH7rppZx,0.4
Fv9rFFfMjJHaybsNdq8dbyfMAN3hnqGi9Sd4ogVHRmhs,0.4
9Ri38eCqyCxAGQoPG8DTjYFU7zWt5FUcVZMRC9FDL4Sp,0.4
HmpvtSKdBRazdkp7tKbW4YKz1JteZWYAgT1MRAp5zv6v,0.4
D6ZfdWM1NbgpAN2GyUMjEvTaYwF9fb3YQrD1UDDiqzMT,0.4
4SD5wcRHd1VACo71CRwdt4o5DwEx7QtuwSMW6gUPhf3e,0.4
74rB4Lt1tWZXAvWitspZcEyyUkEW2nF7yeRXaA2VukJZ,0.4
2QdenZGxdeLNkTczPYZyJG7SWRK1VKfK4tqUN2jLo26p,0.4
AwyFj1gpuYmMwLYK95UM7TSPyND9zH7R2TZqKMjBw1fp,0.4
HmrLogyqb5xVzp8R45Wxzha1xfJmphR5mjdULojkCMgX,0.4
4AnwykbwZTC8QM3mM4zCrWZUXK9NfY9cjtMpBFoLH2Qo,0.4
13X22x1TLNk3NPDcBBhevTwNg4KNxqNwD8BgXQ9pzSRn,0.4
GoDGoDZRxrK156Wg4eVG7F5XG4cExMDnxhe8vw5RojtM,0.4
6abWrXgbG48vzFChxUY1Apgeov3jeyEd9vY53rWk76VK,0.4
38gGoojUAAKW4khNm1DE8Qe8W8TPYiBq7m3M72RLKzCY,0.4
AJrVedTYdup9hcwebUT7GQFiPhgHs63SjbQN69Vv1mHk,0.4
EeccDV2djPt4iAbYdHLbqt55R5WMcpzpTZHAtzUU2ErV,0.4
ABcmXHEELubkcVUZTu8za2pkuea6Noi9uzCzY1xYMa6L,0.4
7exzvD3uDcqwxQZp8zTAwpvW1ZgrMkwZigfrhAsH2nmA,0.4
3XRG7CRqSFpKgxknjy51Hw9fJ1FJdyNTR73R1fDca1Dt,0.4
5jwQP8AzDHoGtqWkz28WFdV6dVJeMi96A3bvYpV5zRVu,0.4
FDHoZta67zCNqUQr49XJoAErhM244KWUf3wqs2Zg3oq3,0.4
DiTjeoy3G2SrwcCSnVAbUUozTFdpskzzbmFYKGtUYYqC,0.4
FbKX2h1Nkg27RHhPQhZrU7g24mBABj7YE4ZBEoMjwJfR,0.4
D4otEe2M7WJUbLt8NCS5bUiGic9wCrCELcZBqX51uADi,0.4
Ai9dM3knVF63bNs9Asxv2M9zDDNeusd1CkyitZtvE8Fd,0.4
4kiZYtb8Pk67WQ9XgGzPkx2khtWMe6TgS2zs373YUWzF,0.4
D6MPr7RhC92UmrLLyPzCysMsfdnQffBEQubDaKeNcBAB,0.4
HKQgUismFMtA4JiTuajqoKZ2z3ZZnjgdLaZ3ZMZsiJmM,0.4
8K8quqjrZx9EY4nRRC6TVaohauSDwF7uEjYyPsCDWygP,0.4
F8Pyb5S57YxmSkJU7K43s832w83dbQFZkdyTUKiuiBja,0.4
8bh36sr6JcnpkJXEApUmzkp6J4uhvKwd3s2iZTktbuha,0.4
6gvvPCx4gvwYKYeMy4ynxMBXDGV8mZCoBaEq93VapRDG,0.4
YGHJwENLmSYHT1vGy1Rm24AcWFxcWpnQKWvyyHg9QV1,0.4
7PNq8geXzndEEdwJ9ymTizDxMDKbUBMkMccphE1cu4s,0.4
Cgjo1mkBp6HmZbtp6JEEsehEDZVeTzQKPMYBufXA3svM,0.4
8GQ6Z1zpzoyjCi9WQarLGfhSM6ohpeykL6PvXuELJfMf,0.4
dJjG6cM5wRtKve91jvP4uYNnLyCauCRFxCPvEZPXvEN,0.4
